Id,Category,Date,Day_Num,Day,Time_Num,District,Latitude,Longitude
301,Home,2015/7/13,1,Mon,8,Zhongzheng,25.0388056,121.5245287
302,Home,2015/7/14,2,Tue,3,Wanhua,25.03899,121.4981794
303,Home,2015/7/14,2,Tue,8,Zhongshan,25.0616374,121.5317076
304,Home,2015/7/15,3,Wed,4,Wanhua,25.0295759,121.4934618
305,Home,2015/7/15,3,Wed,5,Xinyi,25.0368328,121.5602068
306,Home,2015/7/15,3,Wed,7,Zhongshan,25.0522884,121.5321795
307,Home,2015/7/16,4,Thu,3,Daan,25.0356393,121.5567944
308,Home,2015/7/17,5,Fri,1,Zhongshan,25.0580477,121.5264375
309,Home,2015/7/18,6,Sat,1,Beitou,25.1328105,121.4749735
310,Home,2015/7/18,6,Sat,5,Songshan,25.0587242,121.5553698
311,Home,2015/7/18,6,Sat,6,Wanhua,25.0379385,121.4998008
312,Home,2015/7/18,6,Sat,7,Beitou,25.1391495,121.5124724
313,Home,2015/7/20,1,Mon,6,Beitou,25.1224748,121.5002494
314,Home,2015/7/20,1,Mon,7,Shilin,25.0847371,121.5186058
315,Home,2015/7/20,1,Mon,8,Wanhua,25.041994,121.501599
316,Home,2015/7/21,2,Tue,4,Songshan,25.0523524,121.5650483
317,Home,2015/7/21,2,Tue,8,Xinyi,25.0326708,121.5695364
318,Home,2015/7/22,3,Wed,5,Datong,25.0741249,121.5149807
319,Home,2015/7/22,3,Wed,6,Wanhua,25.025723,121.507797
320,Home,2015/7/23,4,Thu,3,Songshan,25.0520049,121.5579155
321,Home,2015/7/24,5,Fri,5,Neihu,25.0841754,121.5989296
322,Home,2015/7/25,6,Sat,4,Songshan,25.0504165,121.5606544
323,Home,2015/7/25,6,Sat,5,Xinyi,25.031744,121.558571
324,Home,2015/7/27,1,Mon,3,Songshan,25.0523244,121.5528592
325,Home,2015/7/27,1,Mon,3,Songshan,25.0496729,121.5691247
326,Home,2015/7/27,1,Mon,7,Shilin,25.1379218,121.5426489
327,Home,2015/7/29,3,Wed,4,Songshan,25.0635141,121.5664762
328,Home,2015/7/30,4,Thu,5,Datong,25.053275,121.513251
329,Home,2015/7/30,4,Thu,6,Wanhua,25.0335717,121.4936655
330,Home,2015/7/31,5,Fri,1,Songshan,25.0523524,121.5650483
331,Home,2015/7/31,5,Fri,2,Songshan,25.0560495,121.5672685
332,Home,2015/7/31,5,Fri,3,Zhongzheng,25.0322972,121.5051266
333,Home,2015/7/31,5,Fri,4,Songshan,25.0518185,121.5573674
334,Home,2015/7/31,5,Fri,5,Songshan,25.0523524,121.5650483
335,Home,2015/7/31,5,Fri,7,Nangang,25.0368857,121.6140477
336,Home,2015/7/31,5,Fri,8,Zhongshan,25.0630441,121.5201991
337,Home,2015/8/1,6,Sat,8,Zhongshan,25.0502007,121.526122
338,Home,2015/8/3,1,Mon,8,Wenshan,24.989659,121.567744
339,Home,2015/8/4,2,Tue,2,Shilin,25.121486,121.54962
340,Home,2015/8/5,3,Wed,5,Songshan,25.0521844,121.5605231
341,Home,2015/8/6,4,Thu,5,Neihu,25.0843415,121.5810884
342,Home,2015/8/6,4,Thu,6,Beitou,25.141831,121.50008
343,Home,2015/8/7,5,Fri,1,Zhongshan,25.0514956,121.5323374
344,Home,2015/8/10,1,Mon,5,Wanhua,25.0259143,121.4915565
345,Home,2015/8/10,1,Mon,6,Neihu,25.0740793,121.6176432
346,Home,2015/8/10,1,Mon,7,Zhongshan,25.0586777,121.5257019
347,Home,2015/8/10,1,Mon,7,Zhongshan,25.0647962,121.5413052
348,Home,2015/8/11,2,Tue,2,Shilin,25.0875289,121.5070435
349,Home,2015/8/11,2,Tue,4,Shilin,25.1028319,121.554684
350,Home,2015/8/12,3,Wed,3,Datong,25.0493003,121.5194405
351,Home,2015/8/12,3,Wed,7,Zhongshan,25.0499592,121.5271009
352,Home,2015/8/13,4,Thu,5,Xinyi,25.0217579,121.555645
353,Home,2015/8/13,4,Thu,6,Beitou,25.139911,121.533058
354,Home,2015/8/14,5,Fri,3,Daan,25.02825,121.528299
355,Home,2015/8/14,5,Fri,4,Wenshan,24.9892599,121.56728
356,Home,2015/8/15,6,Sat,3,Datong,25.0672563,121.5103599
357,Home,2015/8/15,6,Sat,3,Xinyi,25.0418509,121.581105
